,Año,mes,mesl,mesdecimal,promedio,tendencia
1,1980,1,Ene,1980.042,338.45,337.82
2,1980,2,Feb,1980.125,339.15,338.1
3,1980,3,Mar,1980.208,339.46,338.12
4,1980,4,Abr,1980.292,339.85,338.24
5,1980,5,May,1980.375,340.29,338.77
6,1980,6,Jun,1980.458,339.86,339.08
7,1980,7,Jul,1980.542,338.34,339.19
8,1980,8,Ago,1980.625,337.13,339.39
9,1980,9,Sep,1980.708,336.95,339.34
10,1980,10,Oct,1980.792,337.72,339.06
11,1980,11,Nov,1980.875,338.83,339.16
12,1980,12,Dic,1980.958,339.54,339.3
13,1981,1,Ene,1981.042,340.09,339.46
14,1981,2,Feb,1981.125,340.65,339.61
15,1981,3,Mar,1981.208,341.28,339.93
16,1981,4,Abr,1981.292,341.56,339.95
17,1981,5,May,1981.375,341.29,339.76
18,1981,6,Jun,1981.458,340.48,339.7
19,1981,7,Jul,1981.542,339.1,339.94
20,1981,8,Ago,1981.625,337.96,340.23
21,1981,9,Sep,1981.708,337.86,340.24
22,1981,10,Oct,1981.792,338.96,340.3
23,1981,11,Nov,1981.875,340.06,340.39
24,1981,12,Dic,1981.958,340.63,340.4
25,1982,1,Ene,1982.042,341.27,340.65
26,1982,2,Feb,1982.125,341.85,340.8
27,1982,3,Mar,1982.208,342.13,340.75
28,1982,4,Abr,1982.292,342.42,340.81
29,1982,5,May,1982.375,342.27,340.74
30,1982,6,Jun,1982.458,341.39,340.63
31,1982,7,Jul,1982.542,339.66,340.51
32,1982,8,Ago,1982.625,338.02,340.3
33,1982,9,Sep,1982.708,338.08,340.45
34,1982,10,Oct,1982.792,339.53,340.87
35,1982,11,Nov,1982.875,340.86,341.19
36,1982,12,Dic,1982.958,341.68,341.44
37,1983,1,Ene,1983.042,342.27,341.61
38,1983,2,Feb,1983.125,342.64,341.6
39,1983,3,Mar,1983.208,342.93,341.6
40,1983,4,Abr,1983.292,343.41,341.84
41,1983,5,May,1983.375,343.74,342.22
42,1983,6,Jun,1983.458,343.4,342.6
43,1983,7,Jul,1983.542,342.05,342.81
44,1983,8,Ago,1983.625,340.53,342.75
45,1983,9,Sep,1983.708,340.45,342.85
46,1983,10,Oct,1983.792,341.66,343.07
47,1983,11,Nov,1983.875,342.73,343.08
48,1983,12,Dic,1983.958,343.39,343.17
49,1984,1,Ene,1984.042,344.22,343.57
50,1984,2,Feb,1984.125,344.74,343.73
51,1984,3,Mar,1984.208,344.86,343.51
52,1984,4,Abr,1984.292,345.09,343.47
53,1984,5,May,1984.375,345.24,343.7
54,1984,6,Jun,1984.458,344.47,343.71
55,1984,7,Jul,1984.542,343.11,343.92
56,1984,8,Ago,1984.625,342.13,344.41
57,1984,9,Sep,1984.708,342.04,344.49
58,1984,10,Oct,1984.792,342.91,344.29
59,1984,11,Nov,1984.875,344.08,344.39
60,1984,12,Dic,1984.958,344.92,344.63
61,1985,1,Ene,1985.042,345.27,344.58
62,1985,2,Feb,1985.125,345.71,344.69
63,1985,3,Mar,1985.208,346.55,345.24
64,1985,4,Abr,1985.292,346.84,345.24
65,1985,5,May,1985.375,346.68,345.11
66,1985,6,Jun,1985.458,346.18,345.39
67,1985,7,Jul,1985.542,344.86,345.68
68,1985,8,Ago,1985.625,343.37,345.67
69,1985,9,Sep,1985.708,343.3,345.75
70,1985,10,Oct,1985.792,344.56,345.94
71,1985,11,Nov,1985.875,345.7,346.02
72,1985,12,Dic,1985.958,346.45,346.15
73,1986,1,Ene,1986.042,347.01,346.32
74,1986,2,Feb,1986.125,347.23,346.24
75,1986,3,Mar,1986.208,347.61,346.29
76,1986,4,Abr,1986.292,348.13,346.51
77,1986,5,May,1986.375,348.23,346.66
78,1986,6,Jun,1986.458,347.67,346.9
79,1986,7,Jul,1986.542,346.21,347.05
80,1986,8,Ago,1986.625,344.83,347.12
81,1986,9,Sep,1986.708,344.76,347.17
82,1986,10,Oct,1986.792,345.94,347.31
83,1986,11,Nov,1986.875,347.22,347.55
84,1986,12,Dic,1986.958,347.67,347.39
85,1987,1,Ene,1987.042,347.92,347.14
86,1987,2,Feb,1987.125,348.47,347.39
87,1987,3,Mar,1987.208,349.2,347.78
88,1987,4,Abr,1987.292,349.89,348.21
89,1987,5,May,1987.375,350.17,348.6
90,1987,6,Jun,1987.458,349.4,348.73
91,1987,7,Jul,1987.542,347.83,348.81
92,1987,8,Ago,1987.625,346.59,348.97
93,1987,9,Sep,1987.708,346.64,349.09
94,1987,10,Oct,1987.792,347.91,349.3
95,1987,11,Nov,1987.875,349.19,349.52
96,1987,12,Dic,1987.958,350.15,349.84
97,1988,1,Ene,1988.042,350.87,350.07
98,1988,2,Feb,1988.125,351.43,350.35
99,1988,3,Mar,1988.208,351.81,350.36
100,1988,4,Abr,1988.292,352.26,350.5
101,1988,5,May,1988.375,352.43,350.8
102,1988,6,Jun,1988.458,351.75,351.04
103,1988,7,Jul,1988.542,350.27,351.24
104,1988,8,Ago,1988.625,349.07,351.52
105,1988,9,Sep,1988.708,349.27,351.78
106,1988,10,Oct,1988.792,350.45,351.87
107,1988,11,Nov,1988.875,351.63,351.98
108,1988,12,Dic,1988.958,352.48,352.2
109,1989,1,Ene,1989.042,353.03,352.21
110,1989,2,Feb,1989.125,353.49,352.38
111,1989,3,Mar,1989.208,354.04,352.62
112,1989,4,Abr,1989.292,354.42,352.66
113,1989,5,May,1989.375,354.23,352.55
114,1989,6,Jun,1989.458,353.29,352.59
115,1989,7,Jul,1989.542,351.58,352.6
116,1989,8,Ago,1989.625,350.19,352.67
117,1989,9,Sep,1989.708,350.52,353.05
118,1989,10,Oct,1989.792,351.81,353.24
119,1989,11,Nov,1989.875,352.99,353.33
120,1989,12,Dic,1989.958,353.84,353.52
121,1990,1,Ene,1990.042,354.39,353.65
122,1990,2,Feb,1990.125,354.78,353.72
123,1990,3,Mar,1990.208,355.09,353.68
124,1990,4,Abr,1990.292,355.4,353.65
125,1990,5,May,1990.375,355.31,353.64
126,1990,6,Jun,1990.458,354.24,353.59
127,1990,7,Jul,1990.542,352.63,353.7
128,1990,8,Ago,1990.625,351.5,354
129,1990,9,Sep,1990.708,351.71,354.23
130,1990,10,Oct,1990.792,353.1,354.48
131,1990,11,Nov,1990.875,354.34,354.62
132,1990,12,Dic,1990.958,355.09,354.63
133,1991,1,Ene,1991.042,355.66,354.9
134,1991,2,Feb,1991.125,356.08,354.98
135,1991,3,Mar,1991.208,356.54,355.13
136,1991,4,Abr,1991.292,357.02,355.28
137,1991,5,May,1991.375,357.01,355.37
138,1991,6,Jun,1991.458,356.08,355.48
139,1991,7,Jul,1991.542,354.44,355.53
140,1991,8,Ago,1991.625,352.96,355.46
141,1991,9,Sep,1991.708,352.82,355.35
142,1991,10,Oct,1991.792,353.9,355.28
143,1991,11,Nov,1991.875,355.06,355.3
144,1991,12,Dic,1991.958,355.86,355.36
145,1992,1,Ene,1992.042,356.42,355.63
146,1992,2,Feb,1992.125,356.8,355.68
147,1992,3,Mar,1992.208,357.16,355.71
148,1992,4,Abr,1992.292,357.65,355.88
149,1992,5,May,1992.375,357.73,356.09
150,1992,6,Jun,1992.458,356.78,356.18
151,1992,7,Jul,1992.542,355.09,356.22
152,1992,8,Ago,1992.625,353.58,356.13
153,1992,9,Sep,1992.708,353.49,356.05
154,1992,10,Oct,1992.792,354.7,356.09
155,1992,11,Nov,1992.875,355.87,356.11
156,1992,12,Dic,1992.958,356.63,356.14
157,1993,1,Ene,1993.042,357.09,356.25
158,1993,2,Feb,1993.125,357.42,356.27
159,1993,3,Mar,1993.208,357.82,356.4
160,1993,4,Abr,1993.292,358.3,356.56
161,1993,5,May,1993.375,358.26,356.6
162,1993,6,Jun,1993.458,357.23,356.56
163,1993,7,Jul,1993.542,355.62,356.63
164,1993,8,Ago,1993.625,354.34,356.79
165,1993,9,Sep,1993.708,354.35,356.93
166,1993,10,Oct,1993.792,355.59,357.06
167,1993,11,Nov,1993.875,356.83,357.17
168,1993,12,Dic,1993.958,357.72,357.34
169,1994,1,Ene,1994.042,358.34,357.48
170,1994,2,Feb,1994.125,358.87,357.71
171,1994,3,Mar,1994.208,359.22,357.79
172,1994,4,Abr,1994.292,359.57,357.81
