Año,15 años,10 años,5 años
2004,20.90,20.90,20.90
2005,21.40,21.40,21.40
2006,21.90,21.90,21.90
2007,21.80,21.80,21.80
2008,21.40,21.40,21.40
2009,21.60,21.60,21.60
2010,21.00,21.00,21.00
2011,21.80,21.80,21.80
2012,21.90,21.90,21.90
2013,21.90,21.90,21.90
2014,22.10,22.10,22.10
2015,22.10,22.10,22.10
2016,22.40,22.40,22.40
2017,22.60,22.60,22.60
2018,22.45,22.52,22.67
2019,22.54,22.62,22.81
2020,22.63,22.73,22.95
2021,22.72,22.84,23.10
2022,22.81,22.95,23.24
2023,22.90,23.05,23.38
2024,22.99,23.16,23.52
2025,23.08,23.27,23.67
2026,23.17,23.37,23.81
2027,23.27,23.48,23.95
2028,23.36,23.59,24.10
2029,23.45,23.70,24.24
2030,23.54,23.80,24.38
2031,23.63,23.91,24.52
2032,23.72,24.02,24.67
2033,23.81,24.13,24.81
2034,23.90,24.23,24.95
2035,23.99,24.34,25.10
2036,24.08,24.45,25.24
2037,24.17,24.55,25.38
2038,24.26,24.66,25.52
2039,24.35,24.77,25.67
2040,24.44,24.88,25.81
2041,24.53,24.98,25.95
2042,24.62,25.09,26.10
2043,24.71,25.20,26.24
